Date,Myfund (Price),Myfund (Change),BTC-EUR (Price),BTC-EUR (Change),BTC-EUR (Change),Risk,Gold (Price),Gold (Change),SPX-500 (Price),SPX-500 (Change)
2018-12-17,1,1,"3,116.30",8.83%,0.09,8.83,"1,317.40",0.80%,"2,545.94",-2.08%
2018-12-18,1.025792,2.5792,"3,250.80",4.31%,0.04,4.31,"1,318.50",0.08%,"2,546.16",0.01%
2018-12-19,1.021829,-0.38634,"3,259.60",0.27%,0.00,0.27,"1,321.30",0.21%,"2,506.96",-1.54%
2018-12-20,1.035229,1.311374,"3,586.50",10.03%,0.10,10.03,"1,333.10",0.89%,"2,467.42",-1.58%
2018-12-21,1.025792,-0.91159,"3,409.10",-4.95%,-0.05,-4.95,"1,323.10",-0.75%,"2,416.62",-2.06%
2018-12-22,1.025792,0,"3,530.70",3.57%,0.0357,3.57,,,,
2018-12-23,1.016708,-0.88556,"3,507.10",-0.67%,-0.0067,-0.67,,,,
2018-12-24,1.090335,7.241706,"3,568.80",1.76%,0.02,1.76,"1,337.00",1.05%,"2,351.10",-2.71%
2018-12-25,1.009477,-7.41589,"3,353.10",-6.04%,-0.06,-6.04,"1,270.65",-4.96%,,
2018-12-26,1.02526,1.563483,"3,393.20",1.20%,0.01,1.20,"1,343.00",5.32%,"2,467.70",4.96%
2018-12-27,1.021572,-0.35971,"3,179.40",-6.30%,-0.06,-6.30,"1,346.50",0.61%,"2,488.83",0.86%
2018-12-28,1.070198,4.759919,"3,440.50",8.21%,0.08,8.21,"1,348.30",0.13%,"2,485.74",-0.12%
2018-12-29,1.073075,0.268829,"3,303.50",-3.98%,-0.0398,-3.98,,,,
2018-12-30,1.08738,1.333085,"3,403.30",3.02%,0.0302,3.02,,,,
2018-12-31,1.036922,-4.64033,"3,256.50",-4.31%,-0.04,-4.31,"1,347.10",-0.09%,"2,506.85",0.85%
2019-01-01,1.094844,5.585955,"3,380.60",3.81%,0.04,3.81,"1,282.85",-4.73%,,
2019-01-02,1.205479,10.10509,"3,476.40",2.83%,0.03,2.83,"1,349.50",5.15%,"2,510.03",0.13%
