Date,BTC-EUR (Price),BTC/EUR1,Gold (Price),Gold Futures,SPX-500 (Price),S&P 500 ,Myfund (Price),Myfund,MVIS Price,ITIF
2018-12-17,"3,116.30",0.09,"1,317.40",0.008,"2,545.94",-0.0208,1,0.01,1331.21,0.1231
2018-12-18,"3,250.80",0.04,"1,318.50",0.0008,"2,546.16",0.0001,1.025792,0.025792,1413.39,0.0617
2018-12-19,"3,259.60",0.00,"1,321.30",0.0021,"2,506.96",-0.0154,1.021829,-0.00386335631,1418.97,0.0039
2018-12-20,"3,586.50",0.10,"1,333.10",0.0089,"2,467.42",-0.0158,1.035229,0.01311374017,1624.37,0.1448
2018-12-21,"3,409.10",-0.05,"1,323.10",-0.0075,"2,416.62",-0.0206,1.025792,-0.00911585746,1541.73,-0.0509
2018-12-22,"3,530.70",0.04,,,,,1.025792,0,1601.08,0.0385
2018-12-23,"3,507.10",-0.01,,,,,1.016708,-0.00885559646,1654.1,0.0331
2018-12-24,"3,568.80",0.02,"1,337.00",0.0105,"2,351.10",-0.0271,1.090335,0.07241705583,1704.73,0.0306
2018-12-25,"3,353.10",-0.06,"1,270.65",-0.0496,,,1.009477,-0.07415885943,1590.08,-0.0673
2018-12-26,"3,393.20",0.01,"1,343.00",0.0532,"2,467.70",0.0496,1.02526,0.01563482873,1606.12,0.0101
2018-12-27,"3,179.40",-0.06,"1,346.50",0.0061,"2,488.83",0.0086,1.021572,-0.00359713634,1445.64,-0.0999
2018-12-28,"3,440.50",0.08,"1,348.30",0.0013,"2,485.74",-0.0012,1.070198,0.04759919027,1640.98,0.1351
2018-12-29,"3,303.50",-0.04,,,,,1.073075,0.00268828759,1575.83,-0.0397
2018-12-30,"3,403.30",0.03,,,,,1.08738,0.01333084826,1606.6,0.0195
2018-12-31,"3,256.50",-0.04,"1,347.10",-0.0009,"2,506.85",0.0085,1.036922,-0.04640328128,1516.67,-0.056
2019-01-01,"3,380.60",0.04,"1,282.85",-0.0473,,,1.094844,0.05585955356,1609.74,0.0614
2019-01-02,"3,476.40",0.03,"1,349.50",0.0515,"2,510.03",0.0013,1.205479,0.101050926,1677.11,0.0419
2019-01-03,"3,349.70",-0.04,"1,359.80",0.0076,"2,447.89",-0.0248,1.15953,-0.03811679838,1596.54,-0.048
2019-01-04,"3,389.90",0.01,"1,351.80",-0.0065,"2,531.94",0.0343,1.201825,0.03647598596,1621.98,0.0159
2019-01-05,"3,369.00",-0.01,,,,,1.210066,0.00685707154,1627.49,0.0034
2019-01-06,"3,571.70",0.06,,,,,1.226471,0.01355711176,1727.65,0.0615
2019-01-07,"3,521.70",-0.01,"1,355.20",0.0031,"2,549.69",0.007,1.248421,0.01789687649,1685.82,-0.0242
2019-01-08,"3,519.90",0.00,"1,351.10",-0.003,"2,574.41",0.0097,1.2679,0.0156029096,1696.55,0.0064
