Date,BTC-EUR (Price),BTC/EUR,Gold (Price),Gold Futures,Gold Trial,SPX-500 (Price),S&P 500 ,S&P,Myfund (Price),Myfund,,M Trial,MVIS Price,ITIF,,ITIF Trial
2018-12-17,"3,116.30",8.83,"1,317.40",0.80%,0.80,"2,545.94",-0.0208,-2.08,1,1.00%,1,1,1331.21,12.31%,12.31,12.31
2018-12-18,"3,250.80",4.31,"1,318.50",0.08%,0.08,"2,546.16",0.0001,0.01,1.025792,2.58%,2.5792,2.5792,1413.39,6.17%,6.17,6.17
2018-12-19,"3,259.60",0.27,"1,321.30",0.21%,0.21,"2,506.96",-0.0154,-1.54,1.021829,-0.39%,-0.386335631,-0.386335631,1418.97,0.39%,0.39,0.39
2018-12-20,"3,586.50",10.03,"1,333.10",0.89%,0.89,"2,467.42",-0.0158,-1.58,1.035229,1.31%,1.311374017,1.311374017,1624.37,14.48%,14.48,14.48
2018-12-21,"3,409.10",-4.95,"1,323.10",-0.75%,-0.75,"2,416.62",-0.0206,-2.06,1.025792,-0.91%,-0.911585746,-0.911585746,1541.73,-5.09%,-5.09,-5.09
2018-12-22,"3,530.70",3.57,,,,,,,1.025792,0.00%,0,0,1601.08,3.85%,3.85,3.85
2018-12-23,"3,507.10",-0.67,,,,,,,1.016708,-0.89%,-0.885559646,-0.885559646,1654.1,3.31%,3.31,3.31
2018-12-24,"3,568.80",1.76,"1,337.00",1.05%,1.05,"2,351.10",-0.0271,-2.71,1.090335,7.24%,7.241705583,7.241705583,1704.73,3.06%,3.06,3.06
2018-12-25,"3,353.10",-6.04,"1,270.65",-4.96%,-4.96,,,,1.009477,-7.42%,-7.415885943,-7.415885943,1590.08,-6.73%,-6.73,-6.73
2018-12-26,"3,393.20",1.20,"1,343.00",5.32%,5.32,"2,467.70",0.0496,4.96,1.02526,1.56%,1.563482873,1.563482873,1606.12,1.01%,1.01,1.01
2018-12-27,"3,179.40",-6.30,"1,346.50",0.61%,0.61,"2,488.83",0.0086,0.86,1.021572,-0.36%,-0.359713634,-0.359713634,1445.64,-9.99%,-9.99,-9.99
2018-12-28,"3,440.50",8.21,"1,348.30",0.13%,0.13,"2,485.74",-0.0012,-0.12,1.070198,4.76%,4.759919027,4.759919027,1640.98,13.51%,13.51,13.51
2018-12-29,"3,303.50",-3.98,,,,,,,1.073075,0.27%,0.268828759,0.268828759,1575.83,-3.97%,-3.97,-3.97
2018-12-30,"3,403.30",3.02,,,,,,,1.08738,1.33%,1.333084826,1.333084826,1606.6,1.95%,1.95,1.95
2018-12-31,"3,256.50",-4.31,"1,347.10",-0.09%,-0.09,"2,506.85",0.0085,0.85,1.036922,-4.64%,-4.640328128,-4.640328128,1516.67,-5.60%,-5.6,-5.6
2019-01-01,"3,380.60",3.81,"1,282.85",-4.73%,-4.73,,,,1.094844,5.59%,5.585955356,5.585955356,1609.74,6.14%,6.14,6.14
2019-01-02,"3,476.40",2.83,"1,349.50",5.15%,5.15,"2,510.03",0.0013,0.13,1.205479,10.11%,10.1050926,10.1050926,1677.11,4.19%,4.19,4.19
2019-01-03,"3,349.70",-3.64,"1,359.80",0.76%,0.76,"2,447.89",-0.0248,-2.48,1.15953,-3.81%,-3.811679838,-3.811679838,1596.54,-4.80%,-4.8,-4.8
2019-01-04,"3,389.90",1.20,"1,351.80",-0.65%,-0.65,"2,531.94",0.0343,3.43,1.201825,3.65%,3.647598596,3.647598596,1621.98,1.59%,1.59,1.59
2019-01-05,"3,369.00",-0.62,,,,,,,1.210066,0.69%,0.685707154,0.685707154,1627.49,0.34%,0.34,0.34
2019-01-06,"3,571.70",6.01,,,,,,,1.226471,1.36%,1.355711176,1.355711176,1727.65,6.15%,6.15,6.15
2019-01-07,"3,521.70",-1.40,"1,355.20",0.31%,0.31,"2,549.69",0.007,0.7,1.248421,1.79%,1.789687649,1.789687649,1685.82,-2.42%,-2.42,-2.42
