Date,BTC-EUR (Price),BTC/EUR,BTC/EUR1,Gold (Price),Gold Futures,Gold Trial,Gold Trial1,SPX-500 (Price),S&P 500 ,S&P,Myfund (Price),Myfund,,M Trial,MVIS Price,ITIF,,ITIF Trial
2018-12-17,"3,116.30",8.83,0.09,"1,317.40",0.008,0.80,0.01,"2,545.94",-0.0208,-2.08,1,0.01,1,1,1331.21,0.1231,12.31,12.31
2018-12-18,"3,250.80",4.31,0.04,"1,318.50",0.0008,0.08,0.00,"2,546.16",0.0001,0.01,1.025792,0.025792,2.5792,2.5792,1413.39,0.0617,6.17,6.17
2018-12-19,"3,259.60",0.27,0.00,"1,321.30",0.0021,0.21,0.00,"2,506.96",-0.0154,-1.54,1.021829,-0.00386335631,-0.386335631,-0.386335631,1418.97,0.0039,0.39,0.39
2018-12-20,"3,586.50",10.03,0.10,"1,333.10",0.0089,0.89,0.01,"2,467.42",-0.0158,-1.58,1.035229,0.01311374017,1.311374017,1.311374017,1624.37,0.1448,14.48,14.48
2018-12-21,"3,409.10",-4.95,-0.05,"1,323.10",-0.0075,-0.75,-0.01,"2,416.62",-0.0206,-2.06,1.025792,-0.00911585746,-0.911585746,-0.911585746,1541.73,-0.0509,-5.09,-5.09
2018-12-22,"3,530.70",3.57,0.04,,,,0,,,,1.025792,0,0,0,1601.08,0.0385,3.85,3.85
2018-12-23,"3,507.10",-0.67,-0.01,,,,0,,,,1.016708,-0.00885559646,-0.885559646,-0.885559646,1654.1,0.0331,3.31,3.31
2018-12-24,"3,568.80",1.76,0.02,"1,337.00",0.0105,1.05,0.01,"2,351.10",-0.0271,-2.71,1.090335,0.07241705583,7.241705583,7.241705583,1704.73,0.0306,3.06,3.06
2018-12-25,"3,353.10",-6.04,-0.06,"1,270.65",-0.0496,-4.96,-0.0496,,,,1.009477,-0.07415885943,-7.415885943,-7.415885943,1590.08,-0.0673,-6.73,-6.73
2018-12-26,"3,393.20",1.20,0.01,"1,343.00",0.0532,5.32,0.05,"2,467.70",0.0496,4.96,1.02526,0.01563482873,1.563482873,1.563482873,1606.12,0.0101,1.01,1.01
2018-12-27,"3,179.40",-6.30,-0.06,"1,346.50",0.0061,0.61,0.01,"2,488.83",0.0086,0.86,1.021572,-0.00359713634,-0.359713634,-0.359713634,1445.64,-0.0999,-9.99,-9.99
2018-12-28,"3,440.50",8.21,0.08,"1,348.30",0.0013,0.13,0.00,"2,485.74",-0.0012,-0.12,1.070198,0.04759919027,4.759919027,4.759919027,1640.98,0.1351,13.51,13.51
