Date,BTC-EUR (Price),BTC-EUR (Change),BTC-EUR (Change),Gen,Gold (Price),Gld,Gold (Change),,SPX-500 (Price),SPX-500 (Change),Myfund (Price),Myfund-Change,MVIS Price,MVIS Change,
12/17/2018,"3,116.30",8.83%,0.09,8.83,"1,317.40",0.80,0.01,0.80,"2,545.94",-2.08%,1,1.00%,1331.21,12.31%,
12/18/2018,"3,250.80",4.31%,0.04,4.31,"1,318.50",0.08,0.00,0.08,"2,546.16",0.01%,1.025792,2.58%,1413.39,6.17%,
12/19/2018,"3,259.60",0.27%,0.00,0.27,"1,321.30",0.21,0.00,0.21,"2,506.96",-1.54%,1.021829,-0.39%,1418.97,0.39%,
12/20/2018,"3,586.50",10.03%,0.10,10.03,"1,333.10",0.89,0.01,0.89,"2,467.42",-1.58%,1.035229,1.31%,1624.37,14.48%,
12/21/2018,"3,409.10",-4.95%,-0.05,-4.95,"1,323.10",-0.75,-0.01,-0.75,"2,416.62",-2.06%,1.025792,-0.91%,1541.73,-5.09%,
12/22/2018,"3,530.70",3.57%,0.04,3.57,,0.00,,0.00,,,1.025792,0.00%,1601.08,3.85%,
12/23/2018,"3,507.10",-0.67%,-0.01,-0.67,,0.00,,0.00,,,1.016708,-0.89%,1654.1,3.31%,
12/24/2018,"3,568.80",1.76%,0.02,1.76,"1,337.00",1.05,0.01,1.05,"2,351.10",-2.71%,1.090335,7.24%,1704.73,3.06%,
12/25/2018,"3,353.10",-6.04%,-0.06,-6.04,"1,270.65",-4.96,-0.05,-4.96,,,1.009477,-7.42%,1590.08,-6.73%,
12/26/2018,"3,393.20",1.20%,0.01,1.2,"1,343.00",5.32,0.05,5.32,"2,467.70",4.96%,1.02526,1.56%,1606.12,1.01%,
12/27/2018,"3,179.40",-6.30%,-0.06,-6.3,"1,346.50",0.61,0.01,0.61,"2,488.83",0.86%,1.021572,-0.36%,1445.64,-9.99%,
12/28/2018,"3,440.50",8.21%,0.08,8.21,"1,348.30",0.13,0.00,0.13,"2,485.74",-0.12%,1.070198,4.76%,1640.98,13.51%,
12/29/2018,"3,303.50",-3.98%,-0.04,-3.98,,0.00,,0.00,,,1.073075,0.27%,1575.83,-3.97%,
12/30/2018,"3,403.30",3.02%,0.03,3.02,,0.00,,0.00,,,1.08738,1.33%,1606.6,1.95%,
12/31/2018,"3,256.50",-4.31%,-0.04,-4.31,"1,347.10",-0.09,0.00,-0.09,"2,506.85",0.85%,1.036922,-4.64%,1516.67,-5.60%,
1/1/2019,"3,380.60",3.81%,0.04,3.81,"1,282.85",-4.73,-0.05,-4.73,,,1.094844,5.59%,1609.74,6.14%,
1/2/2019,"3,476.40",2.83%,0.03,2.83,"1,349.50",5.15,0.05,5.15,"2,510.03",0.13%,1.205479,10.11%,1677.11,4.19%,
